Name,Price,Base Price,Final Price
Rasam,$ 4.95,4.95,5.94
Sambar,$ 4.95,4.95,5.94
Mulligatawny Soup,$ 4.95,4.95,5.94
Garden Soup,$ 4.95,4.95,5.94
Kachumbar Salad,$ 4.95,4.95,5.94
Garden Salad,$ 4.95,4.95,5.94
Veg Manchow soup,$ 4.95,4.95,5.94
Tomato Soup,$ 4.95,4.95,5.94
Katchumber Salad,$ 4.95,4.95,5.94
Idly,$ 5.95,5.95,7.14
Masala Idly,$ 7.95,7.95,9.54
Mini Idly,$ 5.95,5.95,7.14
Ghee fried Idly,$ 7.95,7.95,9.54
Podi Idly,$ 6.95,6.95,8.34
Chilli Idly,$ 7.95,7.95,9.54
Idly in sambar bowl,$ 6.95,6.95,8.34
Idly in Rasam bowl,$ 6.95,6.95,8.34
Dami Idly,$ 5.95,5.95,7.14
Dahi Idly,$ 5.95,5.95,7.14
Medu Vada,$ 5.95,5.95,7.14
Medu Vada in sambar bowl,$ 5.99,5.99,7.19
Medu Vada in Rasam Bowl,$ 5.99,5.99,7.19
Combo,$ 5.99,5.99,7.19
Combo in Sambar Bowl,$ 5.99,5.99,7.19
Masala Vada,$ 5.95,5.95,7.14
Dahi Vada,$ 4.95,4.95,5.94
Batata Vada,$ 4.95,4.95,5.94
Mysore Bonda,$ 4.95,4.95,5.94
Chennai Pakkoda,$ 4.95,4.95,5.94
Spring rolls,$ 5.95,5.95,7.14
Paneer Pakkoda,$ 6.95,6.95,8.34
Samosa,$ 4.95,4.95,5.94
Aloo Tikki,$ 4.95,4.95,5.94
Chilli Pakora,$ 6.95,6.95,8.34
Bhel puri,$ 6.95,6.95,8.34
Samosa Chat,$ 6.95,6.95,8.34
Aloo Tikki Chat,$ 6.95,6.95,8.34
Papdi Chat,$ 6.95,6.95,8.34
Dahi Bhalla,$ 6.95,6.95,8.34
Channa Chat,$ 6.95,6.95,8.34
Aloo Chat,$ 6.95,6.95,8.34
Vadda Pav,$ 6.95,6.95,8.34
Chilly Paneer Dry,$ 8.95,8.95,10.74
Gobi Manchurian Dry,$ 9.95,9.95,11.94
Chilli Mushroom,$ 9.95,9.95,11.94
Crispy Chilli Potato,$ 9.95,9.95,11.94
Honey Garlic Gobi,$ 9.95,9.95,11.94
Gobi Lasuni,$ 9.95,9.95,11.94
Veg Hakka Noodles,$ 9.95,9.95,11.94
Veg Fried Rice,$ 9.95,9.95,11.94
Chinese Dosa,$ 11.95,11.95,14.34
Veg Manchurian,$ 9.95,9.95,11.94
baby corn chilli manchurian,$ 10.95,10.95,13.14
Chilli Paneer Dry,$ 9.95,9.95,11.94
Sada Dosa,$ 8.95,8.95,10.74
Masala Dosa,$ 9.95,9.95,11.94
