Restaurant_csv1,Item_csv1,Price_csv1,Restaurant_csv2,Item_csv2,Price_csv2,Similarity
village soul of india,Rasam,$ 4.95,Taste of Chennai,Rasam,$7.49,100.0
village soul of india,Sambar,$ 4.95,Taste of Chennai,Sambar,$7.49,100.0
village soul of india,Mulligatawny Soup,$ 4.95,Taste of Mumbai,Mulligatawny Soup,$3.99,100.0
village soul of india,Kachumbar Salad,$ 4.95,Taste of Mumbai,Kachumber Salad,$2.99,93.33333333333333
village soul of india,Garden Salad,$ 4.95,Diwan Indian Restaurant and Bar,Fresh Garden Salad,$9.95,100.0
village soul of india,Veg Manchow soup,$ 4.95,Taste of Mumbai,Manchow Soup,$3.99,100.0
village soul of india,Tomato Soup,$ 4.95,Taste of Mumbai,Tomato Soup,$3.99,100.0
village soul of india,Katchumber Salad,$ 4.95,Dosa World South & North Indian Vegetarian Restaurant,Katchumber Salad,$4.75,100.0
village soul of india,Mini Idly,$ 5.95,Taste of Chennai,Mini Idli (10 pcs),$8.99,94.11764705882352
village soul of india,Ghee fried Idly,$ 7.95,Dosa World South & North Indian Vegetarian Restaurant,Ghee,$0.50,100.0
village soul of india,Idly in sambar bowl,$ 6.95,Taste of Chennai,Sambar,$7.49,100.0
village soul of india,Idly in Rasam bowl,$ 6.95,Taste of Chennai,Rasam,$7.49,100.0
village soul of india,Dahi Idly,$ 5.95,Punjabi Dhaba Hicksville,Dahi,$4.00,100.0
village soul of india,Medu Vada,$ 5.95,Dosa World South & North Indian Vegetarian Restaurant,Medu Vada,$5.99,100.0
village soul of india,Medu Vada in sambar bowl,$ 5.99,Taste of Chennai,Sambar,$7.49,100.0
village soul of india,Medu Vada in Rasam Bowl,$ 5.99,Taste of Chennai,Rasam,$7.49,100.0
village soul of india,Combo,$ 5.99,Main Bakhtar Halal Kabab,#4 Family combo (10 people) 5 cht 4 Chk 3 beef k 3 beef tikka,$120.00,100.0
village soul of india,Combo in Sambar Bowl,$ 5.99,Taste of Chennai,Sambar,$7.49,100.0
village soul of india,Dahi Vada,$ 4.95,Punjabi Dhaba Hicksville,Dahi,$4.00,100.0
village soul of india,Batata Vada,$ 4.95,Dosa World South & North Indian Vegetarian Restaurant,Batata Vada,$5.99,100.0
village soul of india,Mysore Bonda,$ 4.95,Dosa World South & North Indian Vegetarian Restaurant,Bonda,$4.99,100.0
village soul of india,Spring rolls,$ 5.95,Taste of Mumbai,Spring Roll,$7.99,100.0
village soul of india,Paneer Pakkoda,$ 6.95,Punjabi Dhaba Hicksville,Paneer Pakora(1 Lb),$10.00,88.88888888888889
village soul of india,Samosa,$ 4.95,Diwan Indian Restaurant and Bar,Samosa,$9.95,100.0
village soul of india,Aloo Tikki,$ 4.95,Diwan Indian Restaurant and Bar,Aloo Tikki Chat,$13.95,100.0
village soul of india,Chilli Pakora,$ 6.95,Dosa World South & North Indian Vegetarian Restaurant,Pakora,$5.99,100.0
village soul of india,Bhel puri,$ 6.95,Diwan Indian Restaurant and Bar,Bhel Puri,$11.95,100.0
village soul of india,Samosa Chat,$ 6.95,Diwan Indian Restaurant and Bar,Samosa,$9.95,100.0
village soul of india,Aloo Tikki Chat,$ 6.95,Diwan Indian Restaurant and Bar,Aloo Tikki Chat,$13.95,100.0
village soul of india,Papdi Chat,$ 6.95,Taste of Mumbai,Papdi Chaat,$4.99,94.73684210526316
village soul of india,Dahi Bhalla,$ 6.95,Punjabi Dhaba Hicksville,Dahi Bhalla Chat,$8.00,100.0
village soul of india,Channa Chat,$ 6.95,Dosa World South & North Indian Vegetarian Restaurant,Chana Chaat,$5.99,90.9090909090909
village soul of india,Vadda Pav,$ 6.95,Taste of Mumbai,Vada Pav,$4.99,87.5
village soul of india,Chilly Paneer Dry,$ 8.95,Punjabi Dhaba Hicksville,Chilli Paneer,$13.00,92.3076923076923
village soul of india,Gobi Manchurian Dry,$ 9.95,Dosa World South & North Indian Vegetarian Restaurant,Gobi Manchurian,$8.99,100.0
village soul of india,Chilli Mushroom,$ 9.95,Taste of Mumbai,Chilli Mushroom,$9.99,100.0
village soul of india,Veg Hakka Noodles,$ 9.95,Taste of Mumbai,Veg Hakka Noodles,$9.99,100.0
village soul of india,Veg Fried Rice,$ 9.95,Main Bakhtar Halal Kabab,Rice,$4.99,100.0
village soul of india,Chinese Dosa,$ 11.95,Taste of Chennai,Set Dosa,$9.99,93.33333333333333
village soul of india,Veg Manchurian,$ 9.95,Taste of Mumbai,Chicken Manchurian,$12.99,88.88888888888889
village soul of india,baby corn chilli manchurian,$ 10.95,Dosa World South & North Indian Vegetarian Restaurant,Gobi Manchurian,$8.99,88.88888888888889
village soul of india,Chilli Paneer Dry,$ 9.95,Punjabi Dhaba Hicksville,Chilli Paneer,$13.00,100.0
village soul of india,Sada Dosa,$ 8.95,Dosa World South & North Indian Vegetarian Restaurant,Sada Dosa,$9.99,100.0
village soul of india,Masala Dosa,$ 9.95,Taste of Chennai,Masala Dosa,$10.99,100.0
village soul of india,Butter Sada Dosa,$ 8.95,Dosa World South & North Indian Vegetarian Restaurant,Sada Dosa,$9.99,100.0
village soul of india,Butter Masala Dosa,$ 9.95,Taste of Chennai,Masala Dosa,$10.99,100.0
village soul of india,Ghee Roast,$ 8.95,Taste of Chennai,Ghee Roast,$10.99,100.0
village soul of india,Paper Roast Dosa,$ 9.95,Taste of Chennai,Set Dosa,$9.99,93.33333333333333
village soul of india,Mysore Sada Dosa,$ 9.95,Dosa World South & North Indian Vegetarian Restaurant,Sada Dosa,$9.99,100.0
village soul of india,Podi Masala Dosa,$ 9.95,Taste of Chennai,Masala Dosa,$10.99,100.0
village soul of india,Gun Powder masala dosa,$ 9.95,Taste of Chennai,Masala Dosa,$10.99,100.0
village soul of india,Onion Chilli Sada Dosa,$ 9.95,Dosa World South & North Indian Vegetarian Restaurant,Sada Dosa,$9.99,100.0
village soul of india,Onion Chilli Masala Dosa,$ 9.95,Taste of Chennai,Masala Dosa,$10.99,100.0
village soul of india,Mysore Masala Dosa,$ 9.95,Taste of Chennai,Masala Dosa,$10.99,100.0
village soul of india,Ghee Masala Roast,$ 8.95,Dosa World South & North Indian Vegetarian Restaurant,Ghee,$0.50,100.0
village soul of india,Set Dosa,$ 8.95,Taste of Chennai,Set Dosa,$9.99,100.0
village soul of india,Mushroom Masala Dosa,$ 10.75,Taste of Chennai,Masala Dosa,$10.99,100.0
village soul of india,Paneer Masala Dosa,$ 11.95,Diwan Indian Restaurant and Bar,Paneer Masala,$19.95,100.0
village soul of india,Paneer Bhurji Dosa,$ 12.95,Punjabi Dhaba Hicksville,Paneer Bhurji,$13.00,100.0
village soul of india,Spinach Masala Dosa,$ 11.95,Taste of Chennai,Masala Dosa,$10.99,100.0
village soul of india,Cheese Onion Chili Masala Dosa,$ 11.95,Taste of Chennai,Masala Dosa,$10.99,100.0
