Restaurant,Item,Price
Main Bakhtar Halal Kabab,Chicken Kofta Kabab Skewer,$5.95
Main Bakhtar Halal Kabab,#24 One Chicken Kofta and One Beef Kofta,$16.99
Main Bakhtar Halal Kabab,#38 Ten Pieces Chicken Nugget,$9.99
Main Bakhtar Halal Kabab,# 20 Two Lamb Tikka,$17.99
Main Bakhtar Halal Kabab,#23 Two Beef Tikka,$17.99
Main Bakhtar Halal Kabab,#27 Three Chicken Tikka,$18.99
Main Bakhtar Halal Kabab,#7 Two Chicken Tikka on Salad,$15.99
Main Bakhtar Halal Kabab,Lamb Tikka Kabab Skewer,$6.50
Main Bakhtar Halal Kabab,Beef Kofta Kabab Skewer,$5.99
Main Bakhtar Halal Kabab,#2 Combination,$21.99
Main Bakhtar Halal Kabab,Beef Tikka Kabab Skewer,$6.50
Main Bakhtar Halal Kabab,#6 Chicken tikka and Chicken kufta,$15.99
Main Bakhtar Halal Kabab,Chicken Tikka Kabab Skewer,$5.95
Main Bakhtar Halal Kabab,Lamb Chop 1 pcs,$5.95
Main Bakhtar Halal Kabab,"#11 One Chicken Tikka, One Chicken Kofta, and One Beef Tikka",$18.99
Main Bakhtar Halal Kabab,#19 One Beef Tikka and One Chicken Tikka,$16.99
Main Bakhtar Halal Kabab,#4 Family combo (10 people) 5 cht 4 Chk 3 beef k 3 beef tikka,$120.00
Main Bakhtar Halal Kabab,#12 Three Chicken Kofta,$17.99
Main Bakhtar Halal Kabab,#43 Cheeseburger Combo,$11.99
Main Bakhtar Halal Kabab,#14 Three Pieces Lamb Chop and One Chicken Tikka,$19.99
Main Bakhtar Halal Kabab,#8 Family Combo (5-6 people),$85.00
Main Bakhtar Halal Kabab,#47 Lamb Shank Platter,$20.99
Main Bakhtar Halal Kabab,#5 Two Beef Kofta,$16.99
Main Bakhtar Halal Kabab,#36 Five Pieces Mantu,$8.99
Main Bakhtar Halal Kabab,#37 Three Pieces Bolani,$7.99
Main Bakhtar Halal Kabab,#3 Five Pieces Lamb Chops,$23.99
Main Bakhtar Halal Kabab,#1 Combination,$21.99
Main Bakhtar Halal Kabab,#16 One Lamb Tikka and One Chicken Tikka,$16.99
Main Bakhtar Halal Kabab,#17 Two Chicken Kofta,$16.99
Main Bakhtar Halal Kabab,# 33 Family Combo (3-4 people),$49.00
Main Bakhtar Halal Kabab,#10 Two Chicken Tikka,$18.99
Main Bakhtar Halal Kabab,#54 Gyros,$9.99
Main Bakhtar Halal Kabab,#54 Gyro Over Rice Platters,$14.99
Main Bakhtar Halal Kabab,WHITE SAUCE BOTTLE,$4.99
Main Bakhtar Halal Kabab,Green Sauce,$3.00
Main Bakhtar Halal Kabab,QABELI (CARROTS & RAISINS),$3.99
Main Bakhtar Halal Kabab,Rice,$4.99
Main Bakhtar Halal Kabab,Grilled Tomato and Onion,$2.99
Main Bakhtar Halal Kabab,Baklava,$3.99
Main Bakhtar Halal Kabab,Ferni,$2.99
Main Bakhtar Halal Kabab,Gulab Jaman (5 pieces),$3.99
Main Bakhtar Halal Kabab,Soda Can,$2.00
Main Bakhtar Halal Kabab,Yogurt Drink (AYRAN),$3.00
Main Bakhtar Halal Kabab,Water,$2.00
Main Bakhtar Halal Kabab,Snapple,$3.00
Main Bakhtar Halal Kabab,GREEN TEA,$1.50
Main Bakhtar Halal Kabab,CHAI (Milk Tea),$2.00
Main Bakhtar Halal Kabab,Kashmiri Tea Pink tea,$2.00
Main Bakhtar Halal Kabab,Mango Lassi,$3.00
Main Bakhtar Halal Kabab,SAFARI MOCKTAIL,$12.99
Main Bakhtar Halal Kabab,HAPPY LAILA MOCKTAIL,$12.99
Main Bakhtar Halal Kabab,DUBAI B DUBAI,$12.99
Main Bakhtar Halal Kabab,THE AMERICANA,$12.99
Main Bakhtar Halal Kabab,# 33 Family Combo (4 people),$49.00
Main Bakhtar Halal Kabab,#8 Family Combo (5-6 people),$85.00
Main Bakhtar Halal Kabab,#4 Family combo (10 people),$120.00
Main Bakhtar Halal Kabab,#43 Cheeseburger,$6.99
Main Bakhtar Halal Kabab,#45 ChickenBurger Combo,$11.99
Main Bakhtar Halal Kabab,Crispy chicken Sandwich Only,$7.99
Main Bakhtar Halal Kabab,Crispy Chicken Sandwich combo,$12.99
Main Bakhtar Halal Kabab,#43 Cheeseburger Combo,$11.99
Main Bakhtar Halal Kabab,#45 ChickenBurger Only,$6.99
Main Bakhtar Halal Kabab,Fish Sandwich Only,$6.99
Main Bakhtar Halal Kabab,Fish Sandwich Combo,$11.99
Main Bakhtar Halal Kabab,2 PCS FISH W RICE,$12.99
Main Bakhtar Halal Kabab,2 PCS FISH & CHIPS,$11.99
Main Bakhtar Halal Kabab,FRENCH FRIES,$5.00
Main Bakhtar Halal Kabab,10 PCS POTATO WEDGES,$5.00
Kathis & Kababs,1. Achari Aaloo Kathi Roll,$11.95
Kathis & Kababs,2. Paneer Tikka Kathi Roll,$11.95
Kathis & Kababs,3. Mushroom Kathi Roll,$11.95
Kathis & Kababs,4. Malai Paneer Kathi Roll,$11.95
Kathis & Kababs,5. Egg Omelette Kathi Roll,$11.95
Kathis & Kababs,6. Chicken Tikka Kathi Roll,$11.95
Kathis & Kababs,7. Chicken Malai Kathi Roll,$11.95
Kathis & Kababs,8. Chicken Achari Kathi Roll,$11.95
Kathis & Kababs,9. Chicken Seekh Kathi Roll,$11.95
Kathis & Kababs,10. Lamb Seekh Kathi Roll,$14.95
Kathis & Kababs,1. Vegetable Platter Kabab,$14.95
Kathis & Kababs,2. Achari Aaloo Kabab,$14.95
Kathis & Kababs,3. Paneer Tikka Kabab,$14.95
Kathis & Kababs,4. Malai Paneer Tikka Kabab,$14.95
Kathis & Kababs,5. Tandoori Mushroom Kabab,$14.95
Kathis & Kababs,6. Chicken Tikka Kabab,$14.95
Kathis & Kababs,7. Chicken Malai Tikka Kabab,$14.95
Kathis & Kababs,8. Chicken Achari Tikka Kabab,$14.95
Kathis & Kababs,9. Chicken Seekh Kabab,$14.95
Kathis & Kababs,10. Chicken Afghani Kabab,$17.95
Kathis & Kababs,11. Tandoori Chicken Kabab,$17.95
Kathis & Kababs,13. Lamb Seekh Kabab,$19.95
Kathis & Kababs,14. Salmon Fish Tikka Kabab,$21.95
Kathis & Kababs,15. Mutton Burra Kabab,$26.95
Kathis & Kababs,Paneer Achari Tikka,$14.95
Kathis & Kababs,Tandoori Shrimp (8 pcs),$21.95
Kathis & Kababs,Tandoori Roti,$2.95
Kathis & Kababs,Butter Naan,$3.95
Kathis & Kababs,Garlic Naan,$4.95
Kathis & Kababs,Basmati Rice,$5.95
Kathis & Kababs,Dal Makhni (16 OZ),$11.95
Kathis & Kababs,Chana Masala (16 OZ),$11.95
Kathis & Kababs,Saag Paneer,$11.95
Kathis & Kababs,Bottled Water,$1.95
Kathis & Kababs,Soda,$2.95
Kathis & Kababs,Indian Soda,$3.95
Kathis & Kababs,Mango Lassi,$5.95
Kathis & Kababs,Achari Aloo Vegetarian Rice Bowl,$12.95
Kathis & Kababs,Malai Paneer Vegetarian Rice Bowl,$12.95
Kathis & Kababs,Paneer Tikka Vegetarian Rice Bowl,$12.95
Kathis & Kababs,Chicken Tikka Rice Bowl,$12.95
