Name,Price
Rasam,$ 4.95
Sambar,$ 4.95
Mulligatawny Soup,$ 4.95
Garden Soup,$ 4.95
Kachumbar Salad,$ 4.95
Garden Salad,$ 4.95
Veg Manchow soup,$ 4.95
Tomato Soup,$ 4.95
Katchumber Salad,$ 4.95
Idly,$ 5.95
Masala Idly,$ 7.95
Mini Idly,$ 5.95
Ghee fried Idly,$ 7.95
Podi Idly,$ 6.95
Chilli Idly,$ 7.95
Idly in sambar bowl,$ 6.95
Idly in Rasam bowl,$ 6.95
Dami Idly,$ 5.95
Dahi Idly,$ 5.95
Medu Vada,$ 5.95
Medu Vada in sambar bowl,$ 5.99
Medu Vada in Rasam Bowl,$ 5.99
Combo,$ 5.99
Combo in Sambar Bowl,$ 5.99
Masala Vada,$ 5.95
Dahi Vada,$ 4.95
Batata Vada,$ 4.95
Mysore Bonda,$ 4.95
Chennai Pakkoda,$ 4.95
Spring rolls,$ 5.95
Paneer Pakkoda,$ 6.95
Samosa,$ 4.95
Aloo Tikki,$ 4.95
Chilli Pakora,$ 6.95
Bhel puri,$ 6.95
Samosa Chat,$ 6.95
Aloo Tikki Chat,$ 6.95
Papdi Chat,$ 6.95
Dahi Bhalla,$ 6.95
Channa Chat,$ 6.95
Aloo Chat,$ 6.95
Vadda Pav,$ 6.95
Chilly Paneer Dry,$ 8.95
Gobi Manchurian Dry,$ 9.95
Chilli Mushroom,$ 9.95
Crispy Chilli Potato,$ 9.95
Honey Garlic Gobi,$ 9.95
Gobi Lasuni,$ 9.95
Veg Hakka Noodles,$ 9.95
Veg Fried Rice,$ 9.95
Chinese Dosa,$ 11.95
Veg Manchurian,$ 9.95
baby corn chilli manchurian,$ 10.95
Chilli Paneer Dry,$ 9.95
Sada Dosa,$ 8.95
Masala Dosa,$ 9.95
Butter Sada Dosa,$ 8.95
Butter Masala Dosa,$ 9.95
Ghee Roast,$ 8.95
Paper Roast Dosa,$ 9.95
Mysore Sada Dosa,$ 9.95
Podi Masala Dosa,$ 9.95
Gun Powder masala dosa,$ 9.95
Onion Chilli Sada Dosa,$ 9.95
Onion Chilli Masala Dosa,$ 9.95
Mysore Masala Dosa,$ 9.95
Ghee Masala Roast,$ 8.95
Set Dosa,$ 8.95
Chef Special Sampler Dosa 5 Kinds,$ 21.95
Mushroom Masala Dosa,$ 10.75
Jaipur Dosa,$ 11.95
Paneer Masala Dosa,$ 11.95
Paneer Bhurji Dosa,$ 12.95
Spinach Masala Dosa,$ 11.95
Cheese Onion Chili Masala Dosa,$ 11.95
Cheese Masala Dosa or sada,$ 10.95
Spring Masala Dosa,$ 11.95
Pondicherry Masala Dosa,$ 11.95
Paneer Pondicherry Dosa,$ 11.95
"Mushroom, Paneer, Spinach Masala Dosa",$ 13.95
Cheese Pondicherry dosa,$ 11.95
Cheese Sada Dosa,$ 10.75
Plain Uthappam,$ 8.95
Vegetable Uthappam,$ 9.95
Onion Chilli Uthappam,$ 10.95
Mushroom Uthappam,$ 10.95
Onion Chilli Garlic Uthappam,$ 10.95
Gun Powder Uthappam,$ 10.95
Vegetable cheese Uthappam,$ 11.95
Paneer Uthappam,$ 11.95
Custom Uthappam,$ 12.95
Rava Sada Dosa,$ 11.95
Onion Rava Masala Dosa,$ 11.95
Onion Mysore Rava Masala Dosa,$ 11.95
Madras Rava Masala Dosa,$ 11.95
Cheese Onion Rava Masala Dosa,$ 12.95
Coconut Rava Masala Dosa,$ 11.95
Matka Dosa,$ 14.95
Jinni Dosa,$ 14.95
Village Special Dosa- Rava,$ 14.95
Village Special Dosa- Regular,$ 14.95
Aloo Gobi or Mutter or Palak,$ 11.95
Gobi mutter or Aloo,$ 11.95
Chana Masala,$ 11.95
Chana Palak,$ 11.95
Aloo,$ 10.95
Mutter,$ 10.95
Dal Makhni,$ 11.95
Daal Tadka / Palak,$ 11.95
Alu Baingan,$ 11.95
Daal tadka,$ 10.95
Mutter Paneer,$ 12.95
Palak Paneer,$ 12.95
Saag Paneer,$ 12.95
Paneer Tikka Masala,$ 12.95
Kadai Paneer,$ 12.95
Methi Mutter Malai,$ 12.95
Kadai Mushroom,$ 12.95
Malai Kofta,$ 12.95
Paneer Bhurji,$ 12.95
Bhindi Masala,$ 11.95
Egg Plant Curry,$ 11.95
Baigan Bharta,$ 11.95
Nav Ratan Korma,$ 11.95
Vegetable Korma (Vegan),$ 11.95
Aloo Baingan,$ 10.95
Veg Kolhapuri,$ 10.95
Palak,$ 10.95
Paneer,$ 11.95
Mix Vegetables,$ 11.95
Gobi,$ 11.95
Soya,$ 11.95
Chole Bature,$ 12.95
Poori Bhaji,$ 8.95
Poori Kurma,$ 11.95
Uppma,$ 8.95
Pongal,$ 8.95
Avial,$ 11.95
Chilli Paratha,$ 10.95
Chole Poori,$ 12.95
Kuthu Chilli Paratha,$ 11.95
Poondu Kulambu (Garlic),$ 12.95
Ennai Kathrika Kulambu (Egg plant),$ 12.95
Vendaikai Kulambu (Okra),$ 11.95
Murungaikai Kulambu (Drumstick),$ 12.95
Chennai Thali,$ 15.95
South Indian Thali,$ 15.95
North Indian Thali,$ 15.95
Roti,$ 3.95
Paratha,$ 4.95
Poori,$ 4.95
Alu Paratha,$ 6.95
Onion Paratha,$ 6.95
Gobi Paratha,$ 6.95
Onion chilli Paratha,$ 5.95
Cheese Paratha,$ 6.95
Paneer Paratha,$ 6.95
Batura,$ 4.95
Onion / Chilly Kuthu Parantha,$ 6.95
Dum Biryani,$ 11.95
Veg Pullav,$ 9.95
Jeera Rice,$ 9.95
Lemon Rice,$ 9.95
Tamarind Rice,$ 9.95
Vangi Bhath,$ 9.95
B.B.B Bishibilabath,$ 9.95
Tomato Rice,$ 9.95
Coconut Rice,$ 9.95
Yogurt Rice,$ 9.95
Gulab Jamun,$ 4.95
Rasamalai,$ 4.95
Kheer,$ 4.95
Semiya Payasam,$ 4.95
Badam Halwa,$ 5.95
Kulfi Malai,$ 4.95
Halwa with Ice Cream,$ 6.95
"Soda- Coke, D. Coke, Thumps up, Limca sprite, Ginger / Water",$ 2.95
Lassi-Mango,$ 4.95
Hot Drink-Madras Coffee,$ 2.95
Shakes -Vennila,$ 4.95
D. Coke,$ 1.95
Sprite,$ 1.95
Ginger,$ 1.95
water,$ 1.95
Lassi- Sweet,$ 4.95
Lassi- Salted,$ 4.95
Lassi- Chaas,$ 4.95
Hot Drink-Masala Tea,$ 2.95
Hot Drink- Herbal Tea,$ 2.95
Shakes - Mango,$ 4.95
Shakes -Chikoo,$ 4.95
